01,Martin Garrix
02,Dimitri Vegas & Like Mike
03,Armin Van Buuren
04,Hardwell
05,Tiesto
06,The Chainsmokers
07,David Guetta
08,Afrojack
09,Steve Aoki
10,Marshmello
11,Don Diablo
12,KSHMR
13,Oliver Heldens
14,W&W
15,Calvin Harris
16,Skrillex
17,Alan Walker
18,R3Hab
19,Alok
20,Dash Berlin
21,Axwell & Ingrosso
22,DVBBS
23,DJ Snake
24,Kygo
25,Diplo
26,Lost Frequencies
27,Above & Beyond
28,Avicii
29,Zedd
30,Quintino
31,Vintage Culture
32,VINAI
33,Headhunterz
34,Eric Prydz
35,Bassjackers
36,Blasterjaxx
37,Alesso
38,Ummet Ozcan
39,Fedde Le Grand
40,Angerfist
41,Wolfpack
42,NERVO
43,Timmy Trumpet
44,Radical Redemption
45,Major Lazer
46,Tujamo
47,Tom Swoon
48,KURA
49,deadmau5
50,Nicky Romero
51,Paul Van Dyk
52,Danny Avila
53,Aly & Fila
54,ATB
55,Yves V
56,Diego Miranda
57,Yellow Claw
58,Miss K8
59,Brennan Heart
60,Mike Williams
61,Dannic
62,Carl Cox
63,Carl Nunes
64,Lucas & Steve
65,Warface
66,Galantis
67,Da Tweekaz
68,Jay Hardway
69,Claptone
70,Martin Jensen
71,Florian Picasso
72,Vini Vici
73,Jauz
74,Cat Dealers
75,Sam Feldt
76,Robin Schulz
77,Andy C
78,Carnage
79,Andrew Rayel
80,Richie Hawtin
81,Solomun
82,Steve Angello
83,Will Sparks
84,Mariana Bo
85,Black Coffee
86,Dillon Francis
87,Flume
88,Shogun
89,Alison Wonderland
90,Ferry Corsten
91,Maceo Plex
92,Carta
93,Quentin Mosimann
94,Julian Jordan
95,Tchami
96,Porter Robinson
97,Paul Kakbrenner
98,DJ L
99,Swanky Tunes
100,Disclosure
